case_id,input_text,language,expected,legacy_output,factory_output,diff,legacy_trace,factory_trace,legacy_time_ms,factory_time_ms,legacy_accuracy,factory_accuracy,parity_match,legacy_success,factory_success,legacy,factory,time_ms_legacy,time_ms_factory,status
ru_morph_001,платёж Ивану Петрову,,Иван Петров,,,MATCH,,,,,,,,,,Иван Петров,Иван Петров,15.2,5.1,PASS
uk_morph_001,переказ Олені Петренко,,Олена Петренко,,,DIFF,,,,,,,,,,Олена Петренко,Олені Петренко,18.7,6.3,FAIL
en_apostrophe_001,"O'Connor, Sean",,Sean O'Connor,,,DIFF,,,,,,,,,,Sean O'Connor,"O Connor , Sean",12.4,4.8,FAIL
en_title_001,Dr. John A. Smith Jr.,,John Smith,,,DIFF,,,,,,,,,,John Smith,Dr. John A. Smith Jr.,22.1,7.9,FAIL
en_nickname_001,Bill Gates,,William Gates,,,MATCH,,,,,,,,,,William Gates,William Gates,14.6,5.2,PASS
ru_hyphen_001,Петров-Сидоров,,Петров-Сидоров,,,DIFF,,,,,,,,,,Петров-Сидоров,,16.3,3.1,FAIL
uk_hyphen_001,Ковальський-Шевченко,,Ковальський-Шевченко,,,DIFF,,,,,,,,,,Ковальський-Шевченко,,19.8,3.7,FAIL
en_hyphen_001,O'Neil-Smith,,O'Neil-Smith,,,DIFF,,,,,,,,,,O'Neil-Smith,O'Neil Smith John,17.5,6.4,FAIL
ru_initials_001,И.. И. Петров,,И. И. Петров,,,DIFF,,,,,,,,,,И. И. Петров,И. Петров,13.9,4.6,FAIL
uk_initials_001,І.. І. Петренко,,І. І. Петренко,,,DIFF,,,,,,,,,,І. І. Петренко,І. Петренко,15.2,5.1,FAIL
property_idempotency_001,Aᨀ,,Aᨀ,,,DIFF,,,,,,,,,,Aᨀ,,11.8,2.9,FAIL
property_length_001,0,,0,,,DIFF,,,,,,,,,,0,,8.4,1.7,FAIL
property_trace_001,test,,test,,,MATCH,,,,,,,,,,test,test,9.1,3.2,PASS
